1 Depth,2 Depth,3 Depth,화면 ID,URL Path,주요 기능 및 설명,접근 권한(Role),모바일 최적화,비고
대시보드,호텔 대시보드,,HT-DASH-01,/hotel/dashboard,"오늘의 체크인/아웃 현황, 객실 점유율(OCC), ADR, RevPAR 핵심 KPI 카드 및 주간 추이 차트 시각화","admin, manager",✅,호텔 로그인 후 기본 랜딩 페이지
예약 및 프론트,예약 타임라인,,HT-RES-01,/hotel/reservations,날짜(X축) × 객실(Y축) 매트릭스 형태의 간트 차트. 예약 상태별 색상 구분(확정/체크인/취소). 드래그로 날짜 이동 가능,"admin, manager, staff",✅,핵심 화면. 모바일에서는 가로 스크롤 지원
예약 및 프론트,신규 예약,,HT-RES-02,/hotel/reservations/new,"객실 유형 선택, 투숙 일자 설정, 투숙객 검색/신규 등록, VIP 할인율 자동 적용 계산 미리보기","admin, manager, staff",✅,VIP 등급 인식하여 할인가 실시간 표시
예약 및 프론트,예약 상세,,HT-RES-03,/hotel/reservations/:id,"예약 정보 조회/수정, 체크인·체크아웃 처리 버튼, 객실 배정/변경, Folio 연결 바로가기","admin, manager, staff",✅,체크인 시 Room 상태 자동 변경
예약 및 프론트,예약 목록,,HT-RES-04,/hotel/reservations/list,"전체 예약 리스트 테이블. 날짜/상태/투숙객명 필터 검색, CSV 내보내기 기능","admin, manager",❌,PC 화면 최적화 (테이블 형태)
CRM 및 멤버십,투숙객 목록,,HT-CRM-01,/hotel/guests,"전체 투숙객 원장 검색. VIP 등급 필터, 이름/전화번호/여권번호 검색, 누적 투숙 횟수 정렬","admin, manager",❌,
CRM 및 멤버십,투숙객 원장 상세,,HT-CRM-02,/hotel/guests/:id,"개인정보(여권, 연락처), 선호 사항(Memo), VIP 등급 배지, 누적 투숙 횟수(total_stays), 누적 결제액(total_spent), 과거 투숙 이력 타임라인","admin, manager",✅,체크아웃 완료 시 자동 집계 데이터 표시
CRM 및 멤버십,투숙객 등록,,HT-CRM-03,/hotel/guests/new,"신규 고객 등록 폼. 여권 스캔 입력, 연락처, 국적, 선호사항 메모 입력","admin, manager, staff",✅,
CRM 및 멤버십,VIP 등급 관리,,HT-CRM-04,/hotel/guests/vip-settings,VIP 승급 기준(Standard/Silver/Gold/VIP) 확인. 등급별 투숙 횟수·결제액 임계값 표시 (시스템 설정값 조회),admin,❌,"승급은 자동 처리, 여기선 현황 모니터링"
객실 및 요금,객실 인벤토리,,HT-ROOM-01,/hotel/rooms,"전체 객실 목록. 객실 유형/층/상태별 필터, 현재 투숙 상태 및 하우스키핑 상태 뱃지 표시","admin, manager",❌,
객실 및 요금,객실 상세,,HT-ROOM-02,/hotel/rooms/:id,"개별 객실 정보 수정, 현재 상태(available/occupied/maintenance) 변경, 편의시설(amenities) 설정","admin, manager",✅,
객실 및 요금,객실 유형 관리,,HT-ROOM-03,/hotel/room-types,"객실 유형(Deluxe, Suite 등) CRUD. 기본/최대 인원, 편의시설 정의",admin,❌,
객실 및 요금,요금 캘린더,,HT-RATE-01,/hotel/rates,일자/시즌별 객실 유형 기본 요금(USD) 설정. 달력 UI에서 날짜 범위 선택 후 일괄 설정. 시즌 태그(peak/off_peak/normal) 지정,admin,❌,PC 전용. 넓은 달력 UI 필요
객실 및 요금,VIP 할인율 설정,,HT-RATE-02,/hotel/rates/vip-discount,VIP 등급별(Silver/Gold/VIP) 할인율(%) 매핑. 객실 유형별 차등 할인율 설정 가능,admin,❌,예약 생성 시 이 할인율이 자동 적용
